Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/1/3,37,2021/1/4 2:00,N,2616.146,691.702,74.818,26.45,,1.3225,,
2021/1/3,38,2021/1/4 2:30,N,2590.239,690.704,72.418,26.45,,1.3225,,
2021/1/3,39,2021/1/4 3:00,N,2583.609,679.434,67.049,22.36,,1.118,,
2021/1/3,40,2021/1/4 3:30,N,2582.687,679.62,66.545,22.36,,1.118,,
2021/1/3,41,2021/1/4 4:00,N,2591.65,681.14,66.545,22.36,,1.118,,
2021/1/3,42,2021/1/4 4:30,N,2612.373,671.192,96.076,22.36,,1.118,,
2021/1/3,43,2021/1/4 5:00,N,2608.565,661.774,82.398,22.36,,1.118,,
2021/1/3,44,2021/1/4 5:30,N,2600.961,660.006,81.41,19.49,,0.9745,,
2021/1/3,45,2021/1/4 6:00,N,2590.536,717.78,76.318,26.45,,1.3225,,
2021/1/3,46,2021/1/4 6:30,N,2588.033,741.488,74.518,26.98,,1.349,,
2021/1/3,47,2021/1/4 7:00,N,2582.346,721.57,64.518,26.45,,1.3225,,
2021/1/3,48,2021/1/4 7:30,N,2571.795,664.294,60.183,19.49,,0.9745,,
2021/1/4,1,2021/1/4 8:00,N,2570.518,615.297,12.09,-47.92,,-2.396,,
2021/1/4,2,2021/1/4 8:30,N,2520.657,620.905,11.081,-47.92,,-2.396,,
2021/1/4,3,2021/1/4 9:00,N,2496.003,631.205,11.081,-52.66,,-2.633,,
2021/1/4,4,2021/1/4 9:30,N,2479.379,633.809,10.58,-52.66,,-2.633,,
2021/1/4,5,2021/1/4 10:00,N,2461.512,641.211,10.073,-52.66,,-2.633,,
2021/1/4,6,2021/1/4 10:30,N,2442.3,643.095,10.073,-52.66,,-2.633,,
2021/1/4,7,2021/1/4 11:00,N,2437.235,644.691,10.073,-52.66,,-2.633,,
2021/1/4,8,2021/1/4 11:30,N,2445.88,649.248,10.073,-52.66,,-2.633,,
2021/1/4,9,2021/1/4 12:00,N,2480.856,664.512,12.52,-8.8,,-0.44,,
2021/1/4,10,2021/1/4 12:30,N,2522.348,665.295,13.302,-8.8,,-0.44,,
2021/1/4,11,2021/1/4 13:00,N,2549.602,667.026,12.64,-8.8,,-0.44,,
2021/1/4,12,2021/1/4 13:30,N,2576.481,675.228,12.788,-8.8,,-0.44,,
2021/1/4,13,2021/1/4 14:00,N,2576.779,733.65,29.384,27.51,,1.3755,,
